student_id,i,me,my,myself,we,our,ours,ourselves,you,you're,you've,you'll,you'd,your,yours,yourself,yourselves,he,him,his,himself,she,she's,her,hers,herself,it,it's,its,itself,they,them,their,theirs,themselves,what,which,who,whom,this,that,that'll,these,those,am,is,are,was,were,be,been,being,have,has,had,having,do,does,did,doing,a,an,the,and,but,if,or,because,as,until,while,of,at,by,for,with,about,against,between,into,through,during,before,after,above,below,to,from,up,down,in,out,on,off,over,under,again,further,then,once,here,there,when,where,why,how,all,any,both,each,few,more,most,other,some,such,no,nor,not,only,own,same,so,than,too,very,s,t,can,will,just,don,don't,should,should've,now,d,ll,m,o,re,ve,y,ain,aren,aren't,couldn,couldn't,didn,didn't,doesn,doesn't,hadn,hadn't,hasn,hasn't,haven,haven't,isn,isn't,ma,mightn,mightn't,mustn,mustn't,needn,needn't,shan,shan't,shouldn,shouldn't,wasn,wasn't,weren,weren't,won,won't,wouldn,wouldn't,gender
6201c,0.0,0.0028937577511368336,0.002687060768912774,0.00020669698222405952,0.00041339396444811904,0.00020669698222405952,0.0,0.0,0.005580818520049607,0.0,0.0,0.0,0.0,0.002066969822240595,0.0,0.00020669698222405952,0.0,0.018189334435717238,0.0037205456800330715,0.017362546506821,0.0008267879288962381,0.0014468788755684168,0.0,0.0033071517155849523,0.0,0.0,0.005787515502273667,0.0,0.0,0.0,0.0010334849111202976,0.0010334849111202976,0.0010334849111202976,0.0,0.0,0.002687060768912774,0.006614303431169905,0.0047540305911533695,0.0,0.005374121537825548,0.01694915254237288,0.0,0.0012401818933443572,0.0,0.00041339396444811904,0.025423728813559324,0.0024803637866887144,0.0014468788755684168,0.0012401818933443572,0.0062009094667217855,0.0016535758577924762,0.0012401818933443572,0.002687060768912774,0.005374121537825548,0.0006200909466721786,0.0006200909466721786,0.0006200909466721786,0.0028937577511368336,0.0006200909466721786,0.00020669698222405952,0.020876395204630013,0.00434063662670525,0.04361306324927656,0.021909880115750312,0.0047540305911533695,0.0024803637866887144,0.0022736668044646548,0.0031004547333608927,0.012401818933443571,0.00041339396444811904,0.00020669698222405952,0.028317486564696154,0.0018602728400165358,0.005167424555601488,0.005994212484497726,0.0062009094667217855,0.002687060768912774,0.0010334849111202976,0.0028937577511368336,0.0006200909466721786,0.0006200909466721786,0.0,0.0010334849111202976,0.0006200909466721786,0.00020669698222405952,0.0,0.019429516329061595,0.0028937577511368336,0.0,0.00041339396444811904,0.015915667631252583,0.0012401818933443572,0.0037205456800330715,0.00041339396444811904,0.00020669698222405952,0.00020669698222405952,0.0016535758577924762,0.0,0.0,0.00041339396444811904,0.0006200909466721786,0.00020669698222405952,0.003513848697809012,0.0010334849111202976,0.00041339396444811904,0.002066969822240595,0.0010334849111202976,0.0006200909466721786,0.0006200909466721786,0.00041339396444811904,0.00020669698222405952,0.0012401818933443572,0.0006200909466721786,0.0018602728400165358,0.0006200909466721786,0.0010334849111202976,0.002066969822240595,0.00020669698222405952,0.005787515502273667,0.0010334849111202976,0.0016535758577924762,0.0008267879288962381,0.0018602728400165358,0.0008267879288962381,0.0014468788755684168,0.0010334849111202976,0.0,0.0,0.003513848697809012,0.004960727573377429,0.0008267879288962381,0.0,0.0,0.0010334849111202976,0.0,0.0012401818933443572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
0113b,0.0,0.001277139208173691,0.0,0.0,0.006385696040868455,0.005747126436781609,0.0,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.001277139208173691,0.0,0.0006385696040868455,0.0,0.001277139208173691,0.0006385696040868455,0.0031928480204342275,0.0006385696040868455,0.0,0.0,0.0,0.0,0.0,0.0140485312899106,0.0,0.002554278416347382,0.001277139208173691,0.005108556832694764,0.0006385696040868455,0.0019157088122605363,0.0,0.0,0.0031928480204342275,0.002554278416347382,0.0,0.0,0.01277139208173691,0.026181353767560665,0.0,0.0006385696040868455,0.0,0.0,0.022988505747126436,0.0070242656449553,0.0006385696040868455,0.001277139208173691,0.01277139208173691,0.002554278416347382,0.0019157088122605363,0.0038314176245210726,0.0031928480204342275,0.0006385696040868455,0.0006385696040868455,0.0006385696040868455,0.006385696040868455,0.0,0.0,0.015964240102171137,0.006385696040868455,0.02937420178799489,0.016602809706257982,0.0019157088122605363,0.002554278416347382,0.001277139208173691,0.001277139208173691,0.005747126436781609,0.0006385696040868455,0.0,0.0351213282247765,0.0019157088122605363,0.005747126436781609,0.005747126436781609,0.002554278416347382,0.001277139208173691,0.0019157088122605363,0.0,0.0,0.0006385696040868455,0.0,0.0006385696040868455,0.0006385696040868455,0.0006385696040868455,0.0,0.018518518518518517,0.013409961685823755,0.002554278416347382,0.001277139208173691,0.014687100893997445,0.002554278416347382,0.0038314176245210726,0.0,0.001277139208173691,0.0006385696040868455,0.0,0.0006385696040868455,0.002554278416347382,0.0,0.0,0.0038314176245210726,0.0,0.001277139208173691,0.001277139208173691,0.002554278416347382,0.0019157088122605363,0.0006385696040868455,0.0,0.0,0.0,0.0019157088122605363,0.0006385696040868455,0.002554278416347382,0.0006385696040868455,0.0038314176245210726,0.002554278416347382,0.0,0.010855683269476373,0.0006385696040868455,0.0,0.0006385696040868455,0.0031928480204342275,0.001277139208173691,0.0,0.001277139208173691,0.0,0.0,0.004469987228607918,0.002554278416347382,0.001277139208173691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
0130a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005835156819839533,0.0,0.008023340627279359,0.0014587892049598833,0.0,0.0007293946024799417,0.0029175784099197666,0.0,0.0007293946024799417,0.0,0.006564551422319475,0.0,0.0,0.002188183807439825,0.008023340627279359,0.0,0.0,0.0014587892049598833,0.0,0.0,0.0,0.005105762217359592,0.002188183807439825,0.002188183807439825,0.0014587892049598833,0.0,0.0,0.0007293946024799417,0.002188183807439825,0.0,0.0,0.0,0.0007293946024799417,0.0,0.015317286652078774,0.0007293946024799417,0.09336250911743253,0.028446389496717725,0.0,0.0,0.0007293946024799417,0.0,0.0087527352297593,0.0,0.0,0.05324580598103574,0.0007293946024799417,0.005105762217359592,0.007293946024799417,0.00437636761487965,0.0007293946024799417,0.0,0.0,0.0029175784099197666,0.0029175784099197666,0.0007293946024799417,0.0,0.0007293946024799417,0.0,0.0,0.027716994894237783,0.0036469730123997084,0.0007293946024799417,0.0,0.0262582056892779,0.0,0.00437636761487965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007293946024799417,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0029175784099197666,0.0,0.0036469730123997084,0.0,0.005105762217359592,0.0,0.0,0.0014587892049598833,0.0,0.0,0.0,0.0007293946024799417,0.0014587892049598833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
0228c,0.0,0.0,0.0,0.0,0.0013745704467353953,0.0013745704467353953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0013745704467353953,0.0006872852233676976,0.006872852233676976,0.002061855670103093,0.0027491408934707906,0.0,0.0006872852233676976,0.004810996563573883,0.003436426116838488,0.0006872852233676976,0.0,0.006872852233676976,0.012371134020618556,0.0,0.002061855670103093,0.0,0.0,0.015120274914089347,0.010996563573883162,0.003436426116838488,0.0006872852233676976,0.007560137457044674,0.0027491408934707906,0.0006872852233676976,0.01168384879725086,0.004123711340206186,0.0,0.0,0.01718213058419244,0.0,0.0,0.0,0.016494845360824743,0.004123711340206186,0.03573883161512027,0.01993127147766323,0.0013745704467353953,0.0,0.003436426116838488,0.002061855670103093,0.006872852233676976,0.0,0.0,0.02611683848797251,0.0006872852233676976,0.003436426116838488,0.003436426116838488,0.002061855670103093,0.0006872852233676976,0.0,0.0006872852233676976,0.0027491408934707906,0.0,0.0,0.0,0.0,0.0,0.0,0.03573883161512027,0.0013745704467353953,0.0,0.0006872852233676976,0.015807560137457044,0.0027491408934707906,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.002061855670103093,0.0027491408934707906,0.0,0.0006872852233676976,0.0006872852233676976,0.0027491408934707906,0.0027491408934707906,0.0,0.0006872852233676976,0.0,0.0006872852233676976,0.004123711340206186,0.0013745704467353953,0.004123711340206186,0.003436426116838488,0.0013745704467353953,0.0,0.028178694158075602,0.002061855670103093,0.0,0.0,0.002061855670103093,0.0006872852233676976,0.0006872852233676976,0.002061855670103093,0.0,0.0,0.021993127147766325,0.0027491408934707906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
6073e,0.0,0.0004210526315789474,0.0,0.0,0.0,0.0008421052631578948,0.0,0.0,0.0012631578947368421,0.0,0.0,0.0,0.0,0.0004210526315789474,0.0,0.0,0.0,0.0012631578947368421,0.0,0.0029473684210526317,0.0,0.0,0.0,0.0,0.0,0.0,0.00631578947368421,0.0,0.003368421052631579,0.0016842105263157896,0.0012631578947368421,0.0008421052631578948,0.002105263157894737,0.0,0.0,0.0,0.0029473684210526317,0.002105263157894737,0.0004210526315789474,0.0050526315789473685,0.007157894736842105,0.0,0.0008421052631578948,0.0,0.0,0.004210526315789474,0.0004210526315789474,0.015578947368421053,0.0050526315789473685,0.003789473684210526,0.0046315789473684215,0.0012631578947368421,0.005894736842105263,0.0,0.008,0.0,0.0,0.0,0.0008421052631578948,0.0004210526315789474,0.018526315789473686,0.005894736842105263,0.07326315789473684,0.024,0.0016842105263157896,0.0012631578947368421,0.0004210526315789474,0.0004210526315789474,0.0025263157894736842,0.0,0.0,0.03452631578947368,0.0050526315789473685,0.010947368421052631,0.005894736842105263,0.0050526315789473685,0.0,0.0008421052631578948,0.0016842105263157896,0.002105263157894737,0.0008421052631578948,0.0046315789473684215,0.0,0.0046315789473684215,0.0,0.0,0.026947368421052633,0.0050526315789473685,0.0004210526315789474,0.0,0.018947368421052633,0.0012631578947368421,0.0054736842105263155,0.0004210526315789474,0.0004210526315789474,0.0,0.0008421052631578948,0.0004210526315789474,0.0,0.0012631578947368421,0.0,0.0004210526315789474,0.0,0.0008421052631578948,0.0,0.0,0.0,0.0004210526315789474,0.0004210526315789474,0.0,0.0,0.0004210526315789474,0.0004210526315789474,0.0004210526315789474,0.0008421052631578948,0.0004210526315789474,0.0008421052631578948,0.0,0.003789473684210526,0.0004210526315789474,0.0008421052631578948,0.0004210526315789474,0.0004210526315789474,0.0004210526315789474,0.0,0.0008421052631578948,0.0,0.0,0.0012631578947368421,0.0016842105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
0285b,0.0,0.0,0.0008257638315441783,0.0,0.0016515276630883566,0.0,0.0,0.0,0.0008257638315441783,0.0,0.0,0.0,0.0,0.0,0.0,0.0008257638315441783,0.0,0.021469859620148638,0.0,0.014037985136251032,0.004128819157720892,0.0,0.0,0.0,0.0,0.0,0.007431874483897605,0.0,0.0,0.0008257638315441783,0.002477291494632535,0.002477291494632535,0.0,0.0,0.0,0.0016515276630883566,0.009083402146985962,0.0008257638315441783,0.0,0.00495458298926507,0.037159372419488024,0.0,0.0008257638315441783,0.0008257638315441783,0.0008257638315441783,0.01981833195706028,0.010734929810074319,0.0033030553261767133,0.0008257638315441783,0.013212221304706853,0.0008257638315441783,0.004128819157720892,0.0008257638315441783,0.00495458298926507,0.0008257638315441783,0.0,0.0016515276630883566,0.004128819157720892,0.0008257638315441783,0.0,0.013212221304706853,0.0033030553261767133,0.0495458298926507,0.02559867877786953,0.0016515276630883566,0.007431874483897605,0.0033030553261767133,0.004128819157720892,0.009083402146985962,0.0,0.0008257638315441783,0.038810900082576386,0.002477291494632535,0.004128819157720892,0.002477291494632535,0.0033030553261767133,0.0,0.0,0.0033030553261767133,0.0016515276630883566,0.0,0.0,0.0,0.0008257638315441783,0.0,0.0,0.02477291494632535,0.00495458298926507,0.0033030553261767133,0.0,0.008257638315441783,0.0,0.007431874483897605,0.0,0.0,0.0,0.0,0.0,0.002477291494632535,0.0008257638315441783,0.0,0.004128819157720892,0.0,0.0,0.0,0.0008257638315441783,0.0033030553261767133,0.0,0.0,0.0016515276630883566,0.0,0.0016515276630883566,0.0,0.002477291494632535,0.0,0.002477291494632535,0.0008257638315441783,0.0,0.008257638315441783,0.0016515276630883566,0.0008257638315441783,0.0033030553261767133,0.0016515276630883566,0.0,0.0,0.0008257638315441783,0.0,0.0,0.004128819157720892,0.002477291494632535,0.0008257638315441783,0.0,0.0,0.0033030553261767133,0.0,0.0008257638315441783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
6038d,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017743979721166034,0.0,0.0005069708491761723,0.0,0.001520912547528517,0.0012674271229404308,0.0012674271229404308,0.0,0.0,0.0,0.003548795944233207,0.0,0.0,0.006590621039290241,0.013688212927756654,0.0,0.004055766793409379,0.0005069708491761723,0.0,0.010392902408111533,0.006844106463878327,0.0020278833967046894,0.0005069708491761723,0.0038022813688212928,0.001520912547528517,0.0007604562737642585,0.003041825095057034,0.004816223067173638,0.0,0.00025348542458808617,0.00025348542458808617,0.0007604562737642585,0.00025348542458808617,0.0,0.00937896070975919,0.0025348542458808617,0.05602027883396705,0.021799746514575412,0.0012674271229404308,0.00025348542458808617,0.003041825095057034,0.0017743979721166034,0.007858048162230671,0.0,0.0,0.04410646387832699,0.0010139416983523447,0.0038022813688212928,0.0058301647655259825,0.004816223067173638,0.0005069708491761723,0.0,0.0012674271229404308,0.00025348542458808617,0.00025348542458808617,0.0,0.0005069708491761723,0.0,0.0007604562737642585,0.0,0.01850443599493029,0.0022813688212927757,0.0,0.0,0.02737642585551331,0.001520912547528517,0.003548795944233207,0.0,0.00025348542458808617,0.0,0.00025348542458808617,0.0005069708491761723,0.0005069708491761723,0.0,0.0010139416983523447,0.0020278833967046894,0.0005069708491761723,0.003041825095057034,0.00025348542458808617,0.0007604562737642585,0.003041825095057034,0.003548795944233207,0.0017743979721166034,0.0017743979721166034,0.0010139416983523447,0.001520912547528517,0.0007604562737642585,0.0017743979721166034,0.003041825095057034,0.0017743979721166034,0.0012674271229404308,0.0,0.0032953105196451204,0.0007604562737642585,0.0,0.0020278833967046894,0.00025348542458808617,0.0020278833967046894,0.0,0.0,0.0,0.0,0.0020278833967046894,0.001520912547528517,0.00025348542458808617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025348542458808617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
0119c,0.0002603488674824265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002603488674824265,0.000520697734964853,0.0007810466024472793,0.0002603488674824265,0.0,0.0,0.0007810466024472793,0.0,0.0,0.006508721687060661,0.0,0.001041395469929706,0.0007810466024472793,0.0002603488674824265,0.000520697734964853,0.0026034886748242643,0.0,0.0002603488674824265,0.0002603488674824265,0.002082790939859412,0.0007810466024472793,0.0,0.003384535277271544,0.011976047904191617,0.0,0.0002603488674824265,0.0002603488674824265,0.0,0.011976047904191617,0.003905233012236397,0.002863837542306691,0.0018224420723769851,0.008591512626920072,0.000520697734964853,0.000520697734964853,0.0015620932048945586,0.0026034886748242643,0.0013017443374121322,0.0,0.0007810466024472793,0.001041395469929706,0.0002603488674824265,0.0,0.014579536579015881,0.004165581879718824,0.04634209841187191,0.02473314241083051,0.0015620932048945586,0.0015620932048945586,0.0007810466024472793,0.0007810466024472793,0.006508721687060661,0.0002603488674824265,0.0,0.03488674824264514,0.002343139807341838,0.0072897682895079405,0.007810466024472794,0.005467326217130955,0.001041395469929706,0.001041395469929706,0.002863837542306691,0.000520697734964853,0.0002603488674824265,0.0,0.0,0.0002603488674824265,0.0002603488674824265,0.0,0.025253840145795365,0.005467326217130955,0.0002603488674824265,0.0,0.010153605831814632,0.0002603488674824265,0.005727675084613382,0.0007810466024472793,0.000520697734964853,0.001041395469929706,0.0002603488674824265,0.0002603488674824265,0.0,0.000520697734964853,0.0,0.0013017443374121322,0.0007810466024472793,0.0015620932048945586,0.0,0.0,0.000520697734964853,0.0015620932048945586,0.0002603488674824265,0.0,0.0,0.0013017443374121322,0.0,0.0018224420723769851,0.0002603488674824265,0.002863837542306691,0.0013017443374121322,0.0002603488674824265,0.006248372819578235,0.001041395469929706,0.000520697734964853,0.0002603488674824265,0.0002603488674824265,0.000520697734964853,0.0,0.0002603488674824265,0.0,0.0,0.002863837542306691,0.0026034886748242643,0.0002603488674824265,0.0,0.0,0.001041395469929706,0.0,0.0,0.0002603488674824265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,female
3053a,0.0,0.00046816479400749064,0.00046816479400749064,0.0,0.00046816479400749064,0.00046816479400749064,0.0,0.0,0.00046816479400749064,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0,0.00046816479400749064,0.00046816479400749064,0.0009363295880149813,0.00046816479400749064,0.007022471910112359,0.0,0.008895131086142321,0.0,0.0009363295880149813,0.0046816479400749065,0.0,0.0009363295880149813,0.0,0.005149812734082397,0.0018726591760299626,0.0009363295880149813,0.0,0.0,0.00046816479400749064,0.0028089887640449437,0.0023408239700374533,0.0,0.003745318352059925,0.009831460674157303,0.0,0.0018726591760299626,0.00046816479400749064,0.0009363295880149813,0.02153558052434457,0.006086142322097378,0.0009363295880149813,0.0009363295880149813,0.0056179775280898875,0.00046816479400749064,0.00046816479400749064,0.003745318352059925,0.007022471910112359,0.0,0.0,0.0032771535580524347,0.0028089887640449437,0.0,0.0,0.023408239700374533,0.0014044943820224719,0.03651685393258427,0.03885767790262172,0.0028089887640449437,0.0009363295880149813,0.004213483146067416,0.0,0.010299625468164793,0.00046816479400749064,0.0,0.018258426966292134,0.0046816479400749065,0.003745318352059925,0.0046816479400749065,0.0046816479400749065,0.00046816479400749064,0.0,0.0,0.0023408239700374533,0.0,0.0,0.00046816479400749064,0.00046816479400749064,0.0,0.00046816479400749064,0.02153558052434457,0.004213483146067416,0.0018726591760299626,0.0,0.016853932584269662,0.0056179775280898875,0.0032771535580524347,0.00046816479400749064,0.00046816479400749064,0.0,0.00046816479400749064,0.0,0.0,0.0,0.0009363295880149813,0.0014044943820224719,0.0009363295880149813,0.0018726591760299626,0.0014044943820224719,0.0009363295880149813,0.0023408239700374533,0.00046816479400749064,0.00046816479400749064,0.0,0.0014044943820224719,0.0023408239700374533,0.0009363295880149813,0.0028089887640449437,0.00046816479400749064,0.0009363295880149813,0.00046816479400749064,0.0,0.004213483146067416,0.00046816479400749064,0.00046816479400749064,0.00046816479400749064,0.0009363295880149813,0.00046816479400749064,0.0,0.0018726591760299626,0.0,0.0,0.0018726591760299626,0.0023408239700374533,0.0009363295880149813,0.0,0.0,0.00046816479400749064,0.0,0.0014044943820224719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009363295880149813,0.0,0.0,0.0,female
0206g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010582010582010583,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0010582010582010583,0.0010582010582010583,0.004232804232804233,0.0,0.0010582010582010583,0.0,0.0,0.0,0.004232804232804233,0.0010582010582010583,0.0,0.005291005291005291,0.016931216931216932,0.0,0.0,0.0,0.0,0.01904761904761905,0.005291005291005291,0.0010582010582010583,0.0,0.01164021164021164,0.0010582010582010583,0.0010582010582010583,0.0010582010582010583,0.0021164021164021165,0.0,0.0,0.0,0.0,0.0,0.0,0.01798941798941799,0.004232804232804233,0.05925925925925926,0.021164021164021163,0.0,0.0,0.0031746031746031746,0.0,0.014814814814814815,0.0,0.0010582010582010583,0.033862433862433865,0.0,0.005291005291005291,0.005291005291005291,0.0010582010582010583,0.0010582010582010583,0.0,0.0,0.0021164021164021165,0.0031746031746031746,0.0,0.0010582010582010583,0.0,0.0,0.0,0.02433862433862434,0.004232804232804233,0.0,0.0010582010582010583,0.022222222222222223,0.013756613756613757,0.004232804232804233,0.0,0.0,0.0021164021164021165,0.0010582010582010583,0.0,0.0010582010582010583,0.0,0.0,0.0010582010582010583,0.0,0.0031746031746031746,0.0,0.0,0.0021164021164021165,0.0,0.0,0.0010582010582010583,0.0,0.004232804232804233,0.0,0.004232804232804233,0.0,0.0010582010582010583,0.0,0.0,0.0021164021164021165,0.0021164021164021165,0.0,0.0021164021164021165,0.0,0.0010582010582010583,0.0,0.0010582010582010583,0.0,0.0,0.007407407407407408,0.012698412698412698,0.0010582010582010583,0.0,0.0,0.0010582010582010583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male
